Times,Classifier,Accuracy,Recall,Precision,F1 Score,Feature Size,GA score,Feature names
0,KNN,71.23287671232876,71.8475073313783,62.19312602291326,61.988594098685844,6,0.28979452054794524,"['treatments_radiation_treatment_or_therapy', 'ajcc_pathologic_n', 't_depth', 't_ref_count', 'CLIN_SIG', 'SIFT']"
1,KNN,72.6027397260274,79.13461538461539,62.39770867430442,61.65966386554622,7,0.2892389649923897,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth', 'n_depth', 'CLIN_SIG']"
2,KNN,73.97260273972603,73.73563218390804,66.89852700490998,67.78164924506387,13,0.3028006088280061,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'agegroup', 'ajcc_t', 'ajcc_pathologic_m', 'ajcc_pathologic_n', 't_depth', 't_ref_count', 't_alt_count', 'n_depth', 'CLIN_SIG', 'SIFT', 'PolyPhen']"
3,KNN,71.23287671232876,71.8475073313783,62.19312602291326,61.988594098685844,10,0.28979452054794524,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'agegroup', 'ajcc_pathologic_n', 't_depth', 't_ref_count', 't_alt_count', 'n_depth', 'BIOTYPE', 'hotspot']"
4,KNN,69.86301369863014,67.7360774818402,61.988543371522084,62.12264150943396,13,0.2881278538812786,"['gender', 'race', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'agegroup', 'ajcc_t', 'ajcc_pathologic_m', 'ajcc_pathologic_n', 't_depth', 't_ref_count', 'n_depth', 'CLIN_SIG', 'SIFT']"
5,KNN,71.23287671232876,74.04513888888889,61.333878887070384,60.54054054054055,9,0.28979452054794524,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'ajcc_t', 't_ref_count', 't_alt_count', 'n_depth', 'BIOTYPE', 'CLIN_SIG', 'SIFT']"
6,KNN,75.34246575342466,76.57384987893462,67.96235679214404,69.00943396226415,8,0.29090563165905636,"['gender', 'race', 'ajcc_t', 'ajcc_pathologic_m', 't_alt_count', 'BIOTYPE', 'CLIN_SIG', 'hotspot']"
7,KNN,72.6027397260274,73.5655737704918,64.11620294599018,64.42495126705653,10,0.2914611872146119,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'agegroup', 'age', 'ajcc_pathologic_n', 't_depth', 'BIOTYPE', 'CLIN_SIG', 'SIFT', 'PolyPhen']"
8,KNN,72.6027397260274,75.71428571428571,63.256955810147296,63.13131313131313,10,0.2892389649923897,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'agegroup', 't_depth', 't_alt_count', 'n_depth', 'CLIN_SIG', 'hotspot', 'PolyPhen']"
9,KNN,72.6027397260274,75.71428571428571,63.256955810147296,63.13131313131313,10,0.31691780821917814,"['race', 'treatments_pharmaceutical_treatment_or_therapy', 'age', 'ajcc_pathologic_n', 't_depth', 't_ref_count', 't_alt_count', 'n_depth', 'BIOTYPE', 'hotspot']"
