Times,Classifier,Accuracy,Recall,Precision,F1 Score,Feature Size,GA score,Feature names
1,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,6,0.19440846824408467,"['treatments_pharmaceutical_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 'CLIN_SIG', 'SIFT', 'PolyPhen']"
2,FGOA,69.86301369863014,65.38461538461539,56.666666666666664,60.71428571428571,5,0.1962266500622665,"['gender', 'age', 'ajcc_pathologic_stage', 'hotspot', 'SIFT']"
3,FGOA,68.4931506849315,57.692307692307686,55.55555555555556,56.60377358490566,4,0.19531755915317559,"['treatments_pharmaceutical_treatment_or_therapy', 'age', 't_alt_count', 'PolyPhen']"
4,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,9,0.19531755915317559,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 't_alt_count', 'CLIN_SIG', 'hotspot', 'PolyPhen']"
5,FGOA,69.86301369863014,57.692307692307686,57.692307692307686,57.692307692307686,5,0.19531755915317559,"['gender', 'treatments_radiation_treatment_or_therapy', 'ajcc_pathologic_stage', 't_depth', 'hotspot']"
6,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,10,0.1962266500622665,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 't_depth', 'CLIN_SIG', 'hotspot', 'SIFT', 'PolyPhen']"
7,FGOA,72.6027397260274,30.76923076923077,80.0,44.44444444444444,6,0.19531755915317559,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'CLIN_SIG', 'hotspot', 'SIFT', 'PolyPhen']"
8,FGOA,69.86301369863014,65.38461538461539,56.666666666666664,60.71428571428571,2,0.19531755915317559,"['age', 'ajcc_pathologic_stage']"
9,FGOA,68.4931506849315,26.923076923076923,63.63636363636363,37.83783783783784,8,0.19531755915317559,"['gender', 'treatments_radiation_treatment_or_therapy', 'age', 't_alt_count', 'CLIN_SIG', 'hotspot', 'SIFT', 'PolyPhen']"
10,FGOA,76.71232876712328,65.38461538461539,68.0,66.66666666666666,8,0.19531755915317559,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'ajcc_pathologic_stage', 't_depth', 't_alt_count', 'CLIN_SIG', 'SIFT', 'PolyPhen']"
11,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,6,0.19531755915317559,"['treatments_pharmaceutical_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 'hotspot', 'SIFT', 'PolyPhen']"
12,FGOA,54.794520547945204,15.384615384615385,26.666666666666668,19.51219512195122,4,0.19440846824408467,"['gender', 't_depth', 't_alt_count', 'PolyPhen']"
13,FGOA,69.86301369863014,65.38461538461539,56.666666666666664,60.71428571428571,6,0.19531755915317559,"['gender', 'age', 'ajcc_pathologic_stage', 't_alt_count', 'CLIN_SIG', 'SIFT']"
14,FGOA,71.23287671232876,57.692307692307686,60.0,58.82352941176471,3,0.1962266500622665,"['treatments_radiation_treatment_or_therapy', 'ajcc_pathologic_stage', 'SIFT']"
15,FGOA,69.86301369863014,19.230769230769234,83.33333333333334,31.25,3,0.19531755915317559,"['gender', 'treatments_radiation_treatment_or_therapy', 't_alt_count']"
16,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,7,0.1962266500622665,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 't_alt_count', 'SIFT', 'PolyPhen']"
17,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,8,0.19531755915317559,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 't_depth', 't_alt_count', 'hotspot', 'SIFT']"
18,FGOA,69.86301369863014,57.692307692307686,57.692307692307686,57.692307692307686,7,0.19531755915317559,"['gender', 'treatments_radiation_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 'CLIN_SIG', 'SIFT', 'PolyPhen']"
19,FGOA,69.86301369863014,50.0,59.09090909090909,54.166666666666664,5,0.19440846824408467,"['age', 't_depth', 't_alt_count', 'CLIN_SIG', 'hotspot']"
20,FGOA,68.4931506849315,26.923076923076923,63.63636363636363,37.83783783783784,8,0.19713574097135741,"['gender', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth', 't_alt_count', 'CLIN_SIG', 'SIFT', 'PolyPhen']"
21,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,7,0.19531755915317559,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'age', 'ajcc_pathologic_stage', 't_depth', 'hotspot', 'SIFT']"
22,FGOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,6,0.1962266500622665,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'ajcc_pathologic_stage', 'SIFT', 'PolyPhen']"
23,FGOA,67.12328767123287,38.46153846153847,55.55555555555556,45.45454545454545,8,0.19531755915317559,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 't_depth', 't_alt_count', 'CLIN_SIG', 'SIFT', 'PolyPhen']"
24,FGOA,78.08219178082192,65.38461538461539,70.83333333333334,68.0,7,0.19440846824408467,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'ajcc_pathologic_stage', 'CLIN_SIG', 'hotspot', 'PolyPhen']"
