Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
original RF,0.7413793103448276,0.7272727272727273,0.8,0.6785714285714286,0.8,0.2,0.32142857142857145,0.6785714285714286,0.7619047619047619,0.6666666666666667
GA RF,0.7962962962962963,0.7894736842105263,0.8181818181818182,0.7735849056603774,0.8181818181818182,0.18181818181818182,0.22641509433962265,0.7735849056603774,0.8035714285714286,0.7663807890222984
DE RF,0.8240740740740741,0.7903225806451613,0.8909090909090909,0.7547169811320755,0.8909090909090909,0.10909090909090909,0.24528301886792453,0.7547169811320755,0.8376068376068376,0.8367066895368782
PSO RF,0.7777777777777778,0.7719298245614035,0.8,0.7547169811320755,0.8,0.2,0.24528301886792453,0.7547169811320755,0.7857142857142857,0.7451114922813036
WOA RF,0.8518518518518519,0.8421052631578947,0.8727272727272727,0.8301886792452831,0.8727272727272727,0.12727272727272726,0.16981132075471697,0.8301886792452831,0.8571428571428571,0.802744425385935
HHO RF,0.8518518518518519,0.8305084745762712,0.8909090909090909,0.8113207547169812,0.8909090909090909,0.10909090909090909,0.18867924528301888,0.8113207547169812,0.8596491228070176,0.7927958833619213
SMA RF,0.8240740740740741,0.8,0.8727272727272727,0.7735849056603774,0.8727272727272727,0.12727272727272726,0.22641509433962265,0.7735849056603774,0.8347826086956521,0.7910806174957117
FGOA RF,0.7685185185185185,0.7586206896551724,0.8,0.7358490566037735,0.8,0.2,0.2641509433962264,0.7358490566037735,0.7787610619469026,0.6929674099485419
original SVM,0.41379310344827586,0.4444444444444444,0.5333333333333333,0.2857142857142857,0.5333333333333333,0.4666666666666667,0.7142857142857143,0.2857142857142857,0.48484848484848486,-0.15357142857142847
GA SVM,0.6111111111111112,0.6326530612244898,0.5636363636363636,0.660377358490566,0.5636363636363636,0.43636363636363634,0.33962264150943394,0.660377358490566,0.5961538461538461,0.3084048027444255
DE SVM,0.5833333333333334,0.5862068965517241,0.6181818181818182,0.5471698113207547,0.6181818181818182,0.38181818181818183,0.4528301886792453,0.5471698113207547,0.6017699115044248,0.320754716981132
PSO SVM,0.6111111111111112,0.6326530612244898,0.5636363636363636,0.660377358490566,0.5636363636363636,0.43636363636363634,0.33962264150943394,0.660377358490566,0.5961538461538461,0.3080617495711837
WOA SVM,0.6018518518518519,0.59375,0.6909090909090909,0.5094339622641509,0.6909090909090909,0.3090909090909091,0.49056603773584906,0.5094339622641509,0.6386554621848739,0.34236706689536867
HHO SVM,0.6018518518518519,0.59375,0.6909090909090909,0.5094339622641509,0.6909090909090909,0.3090909090909091,0.49056603773584906,0.5094339622641509,0.6386554621848739,0.34236706689536867
SMA SVM,0.6018518518518519,0.59375,0.6909090909090909,0.5094339622641509,0.6909090909090909,0.3090909090909091,0.49056603773584906,0.5094339622641509,0.6386554621848739,0.34236706689536867
FGOA SVM,0.75,0.8043478260869565,0.6727272727272727,0.8301886792452831,0.6727272727272727,0.32727272727272727,0.16981132075471697,0.8301886792452831,0.7326732673267327,0.578730703259005
original KNN,0.603448275862069,0.5853658536585366,0.8,0.39285714285714285,0.8,0.2,0.6071428571428571,0.39285714285714285,0.676056338028169,0.49642857142857144
GA KNN,0.7407407407407407,0.7288135593220338,0.7818181818181819,0.6981132075471698,0.7818181818181819,0.21818181818181817,0.3018867924528302,0.6981132075471698,0.7543859649122807,0.5742710120068613
