Times,Classifier,Accuracy,Recall,Precision,F1 Score,Feature Size,GA score,Feature names
1,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
2,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
3,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
4,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
5,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
6,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
7,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
8,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
9,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
10,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
11,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
12,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
13,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
14,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
15,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
16,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
17,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
18,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
19,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
20,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
21,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
22,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
23,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
24,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
25,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
26,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
27,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
28,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
29,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
30,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
31,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
32,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
33,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
34,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
35,GA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
