Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,Pearsonr correlation,P vale,Gain
original LSTM,0.6545454545454545,0.6176470588235294,0.7777777777777778,0.5357142857142857,0.7777777777777778,0.2222222222222222,0.4642857142857143,0.5357142857142857,0.6885245901639344,0.32258067205376656,0.016307040474936148,0.5105820105820105
GA LSTM,0.7307692307692307,0.7894736842105263,0.7377049180327869,0.7209302325581395,0.7377049180327869,0.26229508196721313,0.27906976744186046,0.7209302325581395,0.7627118644067796,0.45381633614347205,1.3095057532473151e-06,0.5116279069767442
PSO LSTM,0.7596153846153846,0.8,0.7868852459016393,0.7209302325581395,0.7868852459016393,0.21311475409836064,0.27906976744186046,0.7209302325581395,0.7933884297520661,0.5061778258721994,4.2137902296186866e-08,0.6702249332825008
DE LSTM,0.7211538461538461,0.7666666666666667,0.7540983606557377,0.6744186046511628,0.7540983606557377,0.2459016393442623,0.32558139534883723,0.6744186046511628,0.7603305785123967,0.42713504225251664,6.12824483312207e-06,0.5108654212733514
WOA LSTM,0.6634615384615384,0.7241379310344828,0.6885245901639344,0.627906976744186,0.6885245901639344,0.3114754098360656,0.37209302325581395,0.627906976744186,0.7058823529411765,0.31375166158536705,0.0011815991737976787,0.44757910789172684
HHO LSTM,0.6923076923076923,0.7843137254901961,0.6557377049180327,0.7441860465116279,0.6557377049180327,0.3442622950819672,0.2558139534883721,0.7441860465116279,0.7142857142857143,0.3939610806358391,3.5080617075866204e-05,0.39306138009912295
SMA LSTM,0.7596153846153846,0.8214285714285714,0.7540983606557377,0.7674418604651163,0.7540983606557377,0.2459016393442623,0.23255813953488372,0.7674418604651163,0.7863247863247863,0.5151958071234447,2.195374121029092e-08,0.5989325200152495
FGOA LSTM,0.7403846153846154,0.8148148148148148,0.7213114754098361,0.7674418604651163,0.7213114754098361,0.2786885245901639,0.23255813953488372,0.7674418604651163,0.7652173913043478,0.4817336656946331,2.2509748818555918e-07,0.6138009912314144
original A-LSTM,0.7818181818181819,0.7272727272727273,0.8888888888888888,0.6785714285714286,0.8888888888888888,0.1111111111111111,0.32142857142857145,0.6785714285714286,0.8,0.5790660241435861,3.6292784900660294e-06,0.6031746031746033
GA A-LSTM,0.7307692307692307,0.7894736842105263,0.7377049180327869,0.7209302325581395,0.7377049180327869,0.26229508196721313,0.27906976744186046,0.7209302325581395,0.7627118644067796,0.45381633614347205,1.3095057532473151e-06,0.5855890202058711
