Times,Classifier,Accuracy,Recall,Precision,F1 Score,Feature Size,GA score,Feature names
1,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'CLIN_SIG', 'SIFT']"
2,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'hotspot', 'SIFT']"
3,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_alt_count']"
4,HHO,79.45205479452055,61.53846153846154,76.19047619047619,68.08510638297872,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'SIFT']"
5,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth', 'hotspot']"
6,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
7,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'PolyPhen']"
8,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth', 'hotspot']"
9,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'CLIN_SIG', 'PolyPhen']"
10,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
11,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'hotspot', 'SIFT']"
12,HHO,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'hotspot', 'SIFT']"
