Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
original RF,0.7586206896551724,0.75,0.8,0.7142857142857143,0.8,0.2,0.2857142857142857,0.7142857142857143,0.7741935483870968,0.6785714285714286
GA RF,0.7870370370370371,0.7758620689655172,0.8181818181818182,0.7547169811320755,0.8181818181818182,0.18181818181818182,0.24528301886792453,0.7547169811320755,0.7964601769911505,0.7643224699828475
DE RF,0.8333333333333334,0.7846153846153846,0.9272727272727272,0.7358490566037735,0.9272727272727272,0.07272727272727272,0.2641509433962264,0.7358490566037735,0.85,0.8483704974271011
PSO RF,0.7870370370370371,0.7857142857142857,0.8,0.7735849056603774,0.8,0.2,0.22641509433962265,0.7735849056603774,0.7927927927927928,0.7615780445969127
WOA RF,0.8425925925925926,0.8275862068965517,0.8727272727272727,0.8113207547169812,0.8727272727272727,0.12727272727272726,0.18867924528301888,0.8113207547169812,0.8495575221238938,0.7955403087478561
HHO RF,0.8518518518518519,0.8305084745762712,0.8909090909090909,0.8113207547169812,0.8909090909090909,0.10909090909090909,0.18867924528301888,0.8113207547169812,0.8596491228070176,0.7763293310463122
SMA RF,0.8611111111111112,0.8333333333333334,0.9090909090909091,0.8113207547169812,0.9090909090909091,0.09090909090909091,0.18867924528301888,0.8113207547169812,0.8695652173913043,0.8024013722126928
original SVM,0.41379310344827586,0.4444444444444444,0.5333333333333333,0.2857142857142857,0.5333333333333333,0.4666666666666667,0.7142857142857143,0.2857142857142857,0.48484848484848486,-0.14642857142857135
GA SVM,0.6111111111111112,0.6326530612244898,0.5636363636363636,0.660377358490566,0.5636363636363636,0.43636363636363634,0.33962264150943394,0.660377358490566,0.5961538461538461,0.3090909090909091
DE SVM,0.5833333333333334,0.5862068965517241,0.6181818181818182,0.5471698113207547,0.6181818181818182,0.38181818181818183,0.4528301886792453,0.5471698113207547,0.6017699115044248,0.3221269296740994
PSO SVM,0.6111111111111112,0.6326530612244898,0.5636363636363636,0.660377358490566,0.5636363636363636,0.43636363636363634,0.33962264150943394,0.660377358490566,0.5961538461538461,0.3084048027444255
WOA SVM,0.6018518518518519,0.59375,0.6909090909090909,0.5094339622641509,0.6909090909090909,0.3090909090909091,0.49056603773584906,0.5094339622641509,0.6386554621848739,0.34030874785591747
HHO SVM,0.6018518518518519,0.59375,0.6909090909090909,0.5094339622641509,0.6909090909090909,0.3090909090909091,0.49056603773584906,0.5094339622641509,0.6386554621848739,0.3413379073756433
SMA SVM,0.6018518518518519,0.59375,0.6909090909090909,0.5094339622641509,0.6909090909090909,0.3090909090909091,0.49056603773584906,0.5094339622641509,0.6386554621848739,0.34305317324185225
original KNN,0.603448275862069,0.5853658536585366,0.8,0.39285714285714285,0.8,0.2,0.6071428571428571,0.39285714285714285,0.676056338028169,0.49642857142857144
GA KNN,0.7407407407407407,0.7288135593220338,0.7818181818181819,0.6981132075471698,0.7818181818181819,0.21818181818181817,0.3018867924528302,0.6981132075471698,0.7543859649122807,0.5742710120068613
DE KNN,0.6388888888888888,0.6212121212121212,0.7454545454545455,0.5283018867924528,0.7454545454545455,0.2545454545454545,0.4716981132075472,0.5283018867924528,0.6776859504132231,0.4651801029159519
PSO KNN,0.7407407407407407,0.7288135593220338,0.7818181818181819,0.6981132075471698,0.7818181818181819,0.21818181818181817,0.3018867924528302,0.6981132075471698,0.7543859649122807,0.5742710120068613
WOA KNN,0.6481481481481481,0.6231884057971014,0.7818181818181819,0.5094339622641509,0.7818181818181819,0.21818181818181817,0.49056603773584906,0.5094339622641509,0.6935483870967742,0.483704974271012
HHO KNN,0.6481481481481481,0.6231884057971014,0.7818181818181819,0.5094339622641509,0.7818181818181819,0.21818181818181817,0.49056603773584906,0.5094339622641509,0.6935483870967742,0.47684391080617505
SMA KNN,0.6481481481481481,0.6231884057971014,0.7818181818181819,0.5094339622641509,0.7818181818181819,0.21818181818181817,0.49056603773584906,0.5094339622641509,0.6935483870967742,0.483704974271012
original GBDT,0.7241379310344828,0.75,0.7,0.75,0.7,0.3,0.25,0.75,0.7241379310344828,0.5095238095238095
GA GBDT,0.7685185185185185,0.7586206896551724,0.8,0.7358490566037735,0.8,0.2,0.2641509433962264,0.7358490566037735,0.7787610619469026,0.6706689536878216
DE GBDT,0.7685185185185185,0.734375,0.8545454545454545,0.6792452830188679,0.8545454545454545,0.14545454545454545,0.32075471698113206,0.6792452830188679,0.7899159663865546,0.6600343053173243
PSO GBDT,0.7685185185185185,0.7586206896551724,0.8,0.7358490566037735,0.8,0.2,0.2641509433962264,0.7358490566037735,0.7787610619469026,0.6706689536878216
WOA GBDT,0.7685185185185185,0.7205882352941176,0.8909090909090909,0.6415094339622641,0.8909090909090909,0.10909090909090909,0.3584905660377358,0.6415094339622641,0.7967479674796748,0.5941680960548883
HHO GBDT,0.7685185185185185,0.734375,0.8545454545454545,0.6792452830188679,0.8545454545454545,0.14545454545454545,0.32075471698113206,0.6792452830188679,0.7899159663865546,0.6099485420240138
SMA GBDT,0.7592592592592593,0.7101449275362319,0.8909090909090909,0.6226415094339622,0.8909090909090909,0.10909090909090909,0.37735849056603776,0.6226415094339622,0.7903225806451613,0.5975986277873069
original XGB,0.7068965517241379,0.76,0.6333333333333333,0.7857142857142857,0.6333333333333333,0.36666666666666664,0.21428571428571427,0.7857142857142857,0.6909090909090909,0.5380952380952382
GA XGB,0.7870370370370371,0.7666666666666667,0.8363636363636363,0.7358490566037735,0.8363636363636363,0.16363636363636364,0.2641509433962264,0.7358490566037735,0.8,0.7461406518010292
DE XGB,0.7777777777777778,0.746031746031746,0.8545454545454545,0.6981132075471698,0.8545454545454545,0.14545454545454545,0.3018867924528302,0.6981132075471698,0.7966101694915254,0.8034305317324182
PSO XGB,0.7870370370370371,0.7666666666666667,0.8363636363636363,0.7358490566037735,0.8363636363636363,0.16363636363636364,0.2641509433962264,0.7358490566037735,0.8,0.7461406518010292
WOA XGB,0.8240740740740741,0.8103448275862069,0.8545454545454545,0.7924528301886793,0.8545454545454545,0.14545454545454545,0.20754716981132076,0.7924528301886793,0.831858407079646,0.7862778730703259
HHO XGB,0.7870370370370371,0.7666666666666667,0.8363636363636363,0.7358490566037735,0.8363636363636363,0.16363636363636364,0.2641509433962264,0.7358490566037735,0.8,0.7622641509433963
SMA XGB,0.8240740740740741,0.8103448275862069,0.8545454545454545,0.7924528301886793,0.8545454545454545,0.14545454545454545,0.20754716981132076,0.7924528301886793,0.831858407079646,0.7862778730703259
original LGBM,0.6551724137931034,0.65625,0.7,0.6071428571428571,0.7,0.3,0.39285714285714285,0.6071428571428571,0.6774193548387096,0.5392857142857144
GA LGBM,0.8148148148148148,0.7966101694915254,0.8545454545454545,0.7735849056603774,0.8545454545454545,0.14545454545454545,0.22641509433962265,0.7735849056603774,0.8245614035087719,0.7670668953687823
DE LGBM,0.8148148148148148,0.7692307692307693,0.9090909090909091,0.7169811320754716,0.9090909090909091,0.09090909090909091,0.2830188679245283,0.7169811320754716,0.8333333333333334,0.8195540308747855
PSO LGBM,0.8148148148148148,0.7966101694915254,0.8545454545454545,0.7735849056603774,0.8545454545454545,0.14545454545454545,0.22641509433962265,0.7735849056603774,0.8245614035087719,0.7670668953687823
WOA LGBM,0.8055555555555556,0.7833333333333333,0.8545454545454545,0.7547169811320755,0.8545454545454545,0.14545454545454545,0.24528301886792453,0.7547169811320755,0.8173913043478261,0.7756432246998282
HHO LGBM,0.8148148148148148,0.7777777777777778,0.8909090909090909,0.7358490566037735,0.8909090909090909,0.10909090909090909,0.2641509433962264,0.7358490566037735,0.8305084745762712,0.7893653516295025
SMA LGBM,0.8055555555555556,0.7833333333333333,0.8545454545454545,0.7547169811320755,0.8545454545454545,0.14545454545454545,0.24528301886792453,0.7547169811320755,0.8173913043478261,0.7756432246998282
original CatBoost,0.7241379310344828,0.7058823529411765,0.8,0.6428571428571429,0.8,0.2,0.35714285714285715,0.6428571428571429,0.75,0.6714285714285715
GA CatBoost,0.7962962962962963,0.8,0.8,0.7924528301886793,0.8,0.2,0.20754716981132076,0.7924528301886793,0.8,0.7365351629502572
DE CatBoost,0.8425925925925926,0.796875,0.9272727272727272,0.7547169811320755,0.9272727272727272,0.07272727272727272,0.24528301886792453,0.7547169811320755,0.8571428571428571,0.7687821612349914
PSO CatBoost,0.7962962962962963,0.8,0.8,0.7924528301886793,0.8,0.2,0.20754716981132076,0.7924528301886793,0.8,0.7365351629502572
WOA CatBoost,0.8518518518518519,0.819672131147541,0.9090909090909091,0.7924528301886793,0.9090909090909091,0.09090909090909091,0.20754716981132076,0.7924528301886793,0.8620689655172413,0.7578044596912523
HHO CatBoost,0.8518518518518519,0.8305084745762712,0.8909090909090909,0.8113207547169812,0.8909090909090909,0.10909090909090909,0.18867924528301888,0.8113207547169812,0.8596491228070176,0.7591766723842195
SMA CatBoost,0.8518518518518519,0.8305084745762712,0.8909090909090909,0.8113207547169812,0.8909090909090909,0.10909090909090909,0.18867924528301888,0.8113207547169812,0.8596491228070176,0.7468267581475128
