Times,Classifier,Accuracy,Recall,Precision,F1 Score,Feature Size,GA score,Feature names
1,WOA,76.71232876712328,57.692307692307686,71.42857142857143,63.829787234042556,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'PolyPhen']"
2,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'CLIN_SIG', 'SIFT']"
3,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
4,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
5,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
6,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
7,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
8,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
9,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
10,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth']"
11,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
12,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
13,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
14,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
15,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'CLIN_SIG', 'PolyPhen']"
16,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
17,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
18,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
19,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
20,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
21,WOA,79.45205479452055,61.53846153846154,76.19047619047619,68.08510638297872,6,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_alt_count', 'CLIN_SIG', 'SIFT']"
22,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
23,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
24,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
25,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
26,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
27,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
28,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
29,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth']"
30,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
31,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
32,WOA,76.71232876712328,61.53846153846154,69.56521739130434,65.3061224489796,2,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'ajcc_pathologic_stage']"
33,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_alt_count', 'SIFT']"
34,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
35,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
36,WOA,79.45205479452055,61.53846153846154,76.19047619047619,68.08510638297872,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'SIFT']"
37,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['gender', 'treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
38,WOA,76.71232876712328,57.692307692307686,71.42857142857143,63.829787234042556,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'PolyPhen']"
39,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'hotspot', 'PolyPhen']"
40,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
41,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'CLIN_SIG']"
42,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth']"
43,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
44,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'hotspot']"
45,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,5,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_alt_count', 'hotspot']"
46,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
47,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
48,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,3,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age']"
49,WOA,76.71232876712328,57.692307692307686,71.42857142857143,63.829787234042556,6,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 't_depth', 't_alt_count', 'PolyPhen']"
50,WOA,78.08219178082192,61.53846153846154,72.72727272727273,66.66666666666666,4,0.0,"['treatments_pharmaceutical_treatment_or_therapy', 'treatments_radiation_treatment_or_therapy', 'age', 'CLIN_SIG']"
